firstName,lastName,position,nflTeam
Christian,McCaffrey,RB,SF
CeeDee,Lamb,WR,DAL
Tyreek,Hill,WR,MIA
Ja'Marr,Chase,WR,CIN
Bijan,Robinson,RB,ATL
Justin,Jefferson,WR,MIN
Amon,Ra St. Brown,WR,DET
Breece,Hall,RB,NYJ
AJ,Brown,WR,PHI
Garrett,Wilson,WR,NYJ
Puka,Nacua,WR,LAR
Jonathan,Taylor,RB,IND
Jahmyr,Gibbs,RB,DET
Saquon,Barkley,RB,PHI
Chris,Olave,WR,NO
Marvin,Harrison Jr.,WR,ARI
Davante,Adams,WR,LV
Brandon,Aiyuk,WR,SF
Derrick,Henry,RB,BAL
Travis,Etienne Jr.,RB,JAC
Kyren,Williams,RB,LAR
Drake,London,WR,ATL
Josh,Allen,QB,BUF
Mike,Evans,WR,TB
Jalen,Hurts,QB,PHI
Deebo,Samuel Sr.,WR,SF
Nico,Collins,WR,HOU
Jaylen,Waddle,WR,MIA
Isiah,Pacheco,RB,KC
Travis,Kelce,TE,KC
DJ,Moore,WR,CHI
Sam,LaPorta,TE,DET
De'Von,Achane,RB,MIA
Michael,Pittman Jr.,WR,IND
DK,Metcalf,WR,SEA
Lamar,Jackson,QB,BAL
Patrick,Mahomes II,QB,KC
Rachaad,White,RB,TB
Cooper,Kupp,WR,LAR
Josh,Jacobs,RB,GB
DeVonta,Smith,WR,PHI
Amari,Cooper,WR,CLE
Joe,Mixon,RB,HOU
James,Cook,RB,BUF
Stefon,Diggs,WR,HOU
Kenneth,Walker III,RB,SEA
Anthony,Richardson,QB,IND
Malik,Nabers,WR,NYG
Mark,Andrews,TE,BAL
Tee,Higgins,WR,CIN
Trey,McBride,TE,ARI
Zay,Flowers,WR,BAL
George,Pickens,WR,PIT
Alvin,Kamara,RB,NO
C,J. Stroud,QB,HOU
Tank,Dell,WR,HOU
Christian,Kirk,WR,JAC
Aaron,Jones,RB,MIN
Terry,McLaurin,WR,WAS
Joe,Burrow,QB,CIN
David,Montgomery,RB,DET
Dak,Prescott,QB,DAL
Rhamondre,Stevenson,RB,NE
Keenan,Allen,WR,CHI
Kyler,Murray,QB,ARI
James,Conner,RB,ARI
Dalton,Kincaid,TE,BUF
Chris,Godwin,WR,TB
Zamir,White,RB,LV
Najee,Harris,RB,PIT
D'Andre,Swift,RB,CHI
Jayden,Reed,WR,GB
Jordan,Love,QB,GB
Calvin,Ridley,WR,TEN
Raheem,Mostert,RB,MIA
Diontae,Johnson,WR,CAR
George,Kittle,TE,SF
Kyle,Pitts,TE,ATL
DeAndre,Hopkins,WR,TEN
Tony,Pollard,RB,TEN
Rashee,Rice,WR,KC
Hollywood,Brown,WR,KC
Brock,Purdy,QB,SF
Jaylen,Warren,RB,PIT
Zack,Moss,RB,CIN
Evan,Engram,TE,JAC
Brian,Robinson Jr.,RB,WAS
Javonte,Williams,RB,DEN
Jordan,Addison,WR,MIN
Xavier,Worthy,WR,KC
Christian,Watson,WR,GB
Jayden,Daniels,QB,WAS
David,Njoku,TE,CLE
Jaxon,Smith-Njigba,WR,SEA
Tua,Tagovailoa,QB,MIA
Devin,Singletary,RB,NYG
Jake,Ferguson,TE,DAL
Courtland,Sutton,WR,DEN
Jared,Goff,QB,DET
Tyjae,Spears,RB,TEN
Caleb,Williams,QB,CHI
Trevor,Lawrence,QB,JAC
Jonathon,Brooks,RB,CAR
Justin,Herbert,QB,LAC
Austin,Ekeler,RB,WAS
Dallas,Goedert,TE,PHI
Rome,Odunze,WR,CHI
Gus,Edwards,RB,LAC
Ladd,McConkey,WR,LAC
Ezekiel,Elliott,RB,DAL
Tyler,Lockett,WR,SEA
Nick,Chubb,RB,CLE
Kirk,Cousins,QB,ATL
Brock,Bowers,TE,LV
Jameson,Williams,WR,DET
Jerome,Ford,RB,CLE
Jakobi,Meyers,WR,LV
